year;site;phenotype;id;ps_flor;n_ovu;polen_type;max_polen;min_polen
2019;gualeguaychu;321;10;0.0125;4;grano de polen;19.5;18
2019;gualeguaychu;324;1;0.023;6;grano de polen;19.5;18
2019;gualeguaychu;324;2;0.012;4;grano de polen;18;12
2019;gualeguaychu;324;3;0.0189;7;grano de polen;18;13.5
2019;gualeguaychu;324;4;0.0116;0;grano de polen;16.5;16.5
2019;gualeguaychu;324;5;0.0194;5;grano de polen;16.5;16.5
2019;gualeguaychu;324;6;0.0179;2;grano de polen;16.5;12
2019;gualeguaychu;324;7;0.011;4;grano de polen;19.5;16.5
2019;gualeguaychu;324;8;0.094;5;grano de polen;16.5;16.5
2019;gualeguaychu;324;9;0.0124;0;grano de polen;18;15
2019;gualeguaychu;324;10;0.0123;6;grano de polen;18;18
2019;gualeguaychu;325;1;0.018;5;grano de polen;28.5;27
2019;gualeguaychu;325;2;0.021;0;grano de polen;21;16.5
2019;gualeguaychu;325;3;0.011;0;grano de polen;16.5;16.5
2019;gualeguaychu;325;4;0.0118;2;grano de polen;18;15
2019;gualeguaychu;325;5;0.013;5;grano de polen;18;16.5
2019;gualeguaychu;325;6;0.087;3;grano de polen;18;16.5
2019;gualeguaychu;325;7;0.073;3;grano de polen;12;9
2019;gualeguaychu;325;8;0.0134;4;grano de polen;18;16.5
2019;gualeguaychu;325;9;0.067;6;grano de polen;16.5;15
2019;gualeguaychu;325;10;0.013;4;grano de polen;15;13.5
2019;gualeguaychu;331;1;0.0197;2;grano de polen;15;13.5
2019;gualeguaychu;331;2;0.014;2;grano de polen;16.5;15
2019;gualeguaychu;331;3;0.095;5;grano de polen;13.5;12
2019;gualeguaychu;331;4;0.0126;5;grano de polen;18;12
2019;gualeguaychu;331;5;0.078;3;grano de polen;24;19.5
2019;gualeguaychu;331;6;0.095;8;grano de polen;18;15
2019;gualeguaychu;331;7;0.016;9;grano de polen;21;15
2019;gualeguaychu;331;8;0.0111;6;grano de polen;33;22.5
2019;gualeguaychu;331;9;0.016;5;grano de polen;22.5;16.5
2019;gualeguaychu;331;10;0.0115;0;grano de polen;13.5;13.5
