"","year","site","phenotype","id","ps_flor","n_ovu","polen_type","max_polen2","min_polen2","max_polen","min_polen","mean_polen","ns"
"240","2019","PN El Palmar","274","9",13.4,5,"grano de polen",22.5,15,33.75,22.5,28.125,3
"241","2019","PN El Palmar","274","10",11,5,"grano de polen",21,13.5,31.5,20.25,25.875,1
"242","2019","PN El Palmar","274","11",NA,NA,NA,NA,NA,NA,NA,NA,1
"243","2019","PN El Palmar","274","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"244","2019","PN El Palmar","276","1",11.4,8,"grano de polen",21,18,31.5,27,29.25,1
"245","2019","PN El Palmar","276","2",13.1,7,"grano de polen",24,22.5,36,33.75,34.875,2
"246","2019","PN El Palmar","276","3",11.7,7,"grano de polen",24,22.5,36,33.75,34.875,1
"247","2019","PN El Palmar","276","4",12.1,4,"grano de polen",28.5,27,42.75,40.5,41.625,1
"248","2019","PN El Palmar","276","5",14.8,4,"grano de polen",22.5,21,33.75,31.5,32.625,1
"249","2019","PN El Palmar","276","6",13.8,5,"grano de polen",24,22.5,36,33.75,34.875,2
"250","2019","PN El Palmar","276","7",15,5,"grano de polen",18,16.5,27,24.75,25.875,1
"251","2019","PN El Palmar","276","8",11.9,6,"grano de polen",28.5,18,42.75,27,34.875,1
"252","2019","PN El Palmar","276","9",11.5,5,"grano de polen",22.5,18,33.75,27,30.375,1
"253","2019","PN El Palmar","276","10",13.1,7,"grano de polen",21,21,31.5,31.5,31.5,1
"254","2019","PN El Palmar","276","11",NA,NA,NA,NA,NA,NA,NA,NA,2
"255","2019","PN El Palmar","276","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"256","2019","PN El Palmar","280","1",11,2,"grano de polen",21,18,31.5,27,29.25,2
"257","2019","PN El Palmar","280","2",15.1,2,"grano de polen",19.5,15,29.25,22.5,25.875,1
"258","2019","PN El Palmar","280","3",13.6,3,"grano de polen",18,15,27,22.5,24.75,2
"259","2019","PN El Palmar","280","4",12.4,1,"grano de polen",22.5,19.5,33.75,29.25,31.5,1
"260","2019","PN El Palmar","280","5",13.8,4,"grano de polen",21,10.5,31.5,15.75,23.625,1
"261","2019","PN El Palmar","280","6",12.9,4,"grano de polen",21,12,31.5,18,24.75,1
"262","2019","PN El Palmar","280","7",10,3,"grano de polen",22.5,19.5,33.75,29.25,31.5,1
"263","2019","PN El Palmar","280","8",8.3,3,"grano de polen",21,21,31.5,31.5,31.5,1
"264","2019","PN El Palmar","280","9",9.4,4,"grano de polen",19.5,12,29.25,18,23.625,1
"265","2019","PN El Palmar","280","10",12.9,3,"grano de polen",22.5,16.5,33.75,24.75,29.25,NA
"266","2019","PN El Palmar","281","1",9.7,4,"grano de polen",21,19.5,31.5,29.25,30.375,1
"267","2019","PN El Palmar","281","2",9.3,4,"grano de polen",21,16.5,31.5,24.75,28.125,2
"268","2019","PN El Palmar","281","3",13.3,4,"grano de polen",16.5,15,24.75,22.5,23.625,2
