YEAR	REG	ACC	Conc	AAO	FEN	CLOA	CLOB	CARO	INDMAD	ATT	RATIO	BRIX	AAO25	AAO50	AAO100	AAO250
2019	Concordia	197	0.250	97.61	348.65	2.655353234	4.507064677	12.83104478	0.4444				57.74	85.91	96.76	98.33
2019	Concordia	198	0.025	21.25	170.29	1.319433962	2.337735849	9.922264151	0.8889	2.848	3.429307116	9.766666667	20.39	38.83	69.20	95.15
2019	Concordia	198	0.050	39.56	151.89	0.674349084	1.194792671	19.93442623	0.8889	1.664	6.730769231	11.2	14.12	28.68	52.25	88.00
2019	Concordia	198	0.100	68.69	323.46	3.397903711	5.851755266	9.658174524	0.8889	2.1376	4.600174651	9.833333333	27.36	51.10	85.35	95.50
2019	Concordia	198	0.250	92.41	215.87	0.383861671	0.680115274	7.377521614	0.8889	1.9264	5.848560354	11.26666667	23.12	39.63	67.96	91.00
2019	Concordia	199	0.025	32.70	248.71	1.526777669	2.645249755	14.29265426	0.7778	1.7088	5.188826467	8.866666667	33.36	55.68	85.81	95.77
2019	Concordia	199	0.050	53.76	196.62	6.121291822	10.40539033	17.27769517	0.7778	1.9616	3.942359978	7.733333333	36.93	58.51	88.13	95.77
2019	Concordia	199	0.100	84.09	109.71	4.263418719	7.297931034	19.53261084	0.7778	1.792	5.87797619	10.53333333	27.39	47.22	78.51	95.02
2019	Concordia	199	0.250	95.48	206.25	2.842726378	4.871259843	18.89173228	0.7778	2.112	4.466540404	9.433333333	33.11	53.61	83.90	95.35
2019	Concordia	208	0.025	95.80	1815.46	9.799210037	16.72304833	10.33828996	0.5278				96.79	96.43	95.54	96.07
2019	Concordia	208	0.050	95.63	1210.73	7.806115035	13.27568113	8.462563068	0.5278				95.54	95.71	96.43	96.34
2019	Concordia	208	0.100	95.98	1202.24	9.384204204	15.98438438	11.46826827	0.5278				95.54	95.45	96.25	96.43
2019	Concordia	208	0.250	96.07	1768.75	15.11311587	25.78033106	12.48062317	0.5278				95.36	94.91	95.71	95.45
2019	Palmar	260	0.025	35.40	364.58	5.207165669	8.799001996	10.81317365	0.5278	2.432	3.344298246	8.133333333	38.58	65.68	93.35	96.24
2019	Palmar	260	0.050	58.94	340.80	5.196292247	8.796620278	10.98131213	0.5278	1.770666667	4.913403614	8.7	34.18	50.29	83.02	95.30
2019	Palmar	260	0.100	88.04	383.69	8.372250712	14.13732194	10.76923077	0.5278	0.917333333	6.395348837	5.866666667	35.98	61.05	88.58	92.49
2019	Palmar	260	0.250	94.08	334.00	3.030575342	5.118356164	11.93534247	0.5278	1.7664	4.906400966	8.666666667	32.88	58.74	87.21	92.27
2019	Palmar	261	0.025	34.00	453.33	4.454527919	7.566700508	17.26781726	0.5185	1.450666667	5.46875	7.933333333	43.30	73.07	94.83	96.17
2019	Palmar	261	0.050	56.95	333.15	3.633499025	6.18460039	14.74736842	0.5185	1.3792	6.18716164	8.533333333	43.02	70.30	94.76	95.75
2019	Palmar	261	0.100	85.58	281.77	3.944137931	6.724712644	18.13908046	0.5185				22.75	34.87	67.54	94.05
2019	Palmar	261	0.250	95.25	414.26	2.840029703	4.835247525	12.81029703	0.5185				26.93	49.54	85.19	95.04
2019	Palmar	262	0.025	44.86	506.84	18.30052427	31.1784466	11.91067961	0.3333	0.7808	9.477459016	7.4	52.17	75.19	94.80	96.29
2019	Palmar	262	0.050	71.00	412.57	10.92735238	18.60419048	12.91390476	0.3333				48.14	71.16	93.96	95.33
2019	Palmar	262	0.100	93.82	480.94	11.3361523	19.3503006	21.73186373	0.3333				44.55	75.29	94.49	95.23
2019	Palmar	262	0.250	95.78	367.13	9.108245283	15.50358491	15.62830189	0.3333				34.57	62.35	92.05	96.29
2019	Palmar	268	0.025	35.48	277.10	7.866094675	13.30414201	10.73293886	0.7778	1.608533333	4.952751989	7.966666667	33.51	60.42	90.31	96.01
2019	Palmar	268	0.050	61.28	499.20	10.79712937	18.32219075	11.70311615	0.7778	1.546666667	3.943965517	6.1	53.35	85.78	95.29	95.56
2019	Palmar	268	0.100	86.21	359.48	6.732865672	11.42746269	9.663283582	0.7778	1.8784	3.779812606	7.1	31.88	56.61	88.32	94.93
2019	Palmar	268	0.250	95.20	250.77	3.092078818	5.237635468	12.89576355	0.7778	1.988266667	4.1409603	8.233333333	23.19	42.30	70.92	94.29
2019	Palmar	271	0.025	31.41	395.15	3.519642185	6.005838041	9.808286252	0.5556	2.289066667	3.771551724	8.633333333	45.05	77.40	96.23	97.13
2019	Palmar	271	0.050	54.16	286.86	4.628795518	7.858823529	8.950140056	0.5556	1.986133333	4.078276047	8.1	28.91	49.96	83.95	96.15
2019	Palmar	271	0.100	83.07	307.25	6.692717498	11.33528837	12.89892473	0.5556	1.7856	4.778972521	8.533333333	27.27	43.08	73.38	95.17
2019	Palmar	271	0.250	95.80	268.60	2.673209429	4.528558477	6.529102448	0.5556				24.41	46.19	78.71	94.76
2019	Palmar	272	0.025	44.44	611.95	8.627542121	14.69554014	10.31318137	0.6667	2.1504	4.557291667	9.8	70.98	92.81	95.42	95.70
2019	Palmar	272	0.050	64.93	475.84	0.901729323	1.540225564	17.33157895	0.6667	1.6544	5.601225016	9.266666667	45.42	72.99	94.29	95.84
2019	Palmar	272	0.100	86.83	332.73	0.181384909	0.30678128	19.5243553	0.6667	1.9168	5.634390651	10.8	34.70	53.88	85.40	95.56
2019	Palmar	272	0.250	95.33	387.09	4.483364486	7.657943925	24.87268951	0.6667				26.66	40.06	72.21	94.22
2019	Palmar	274	0.025	36.40	951.68	13.11398239	22.35303327	17.71976517	0.5	1.393066667	5.647013783	7.866666667	37.32	69.97	94.35	95.73
2019	Palmar	274	0.050	61.16	735.95	2.930964215	4.965208748	18.39125249	0.5				36.73	58.87	88.11	95.47
2019	Palmar	274	0.100	88.47	333.58	2.939681774	4.987463838	19.99807136	0.5				24.70	43.04	77.33	94.88
2019	Palmar	274	0.250	95.39	335.28	0.097558594	0.172851563	13.96953125	0.5				42.18	69.91	93.23	95.14
2019	Palmar	276	0.025	29.33	308.52	1.691751468	2.892759295	16.2183953	0.6389	1.7344	5.323646986	9.233333333	16.02	29.38	56.22	90.79
2019	Palmar	276	0.050	53.17	436.35	4.200816929	7.097047244	16.43503937	0.6389	1.2416	6.765463918	8.4	43.04	74.83	94.25	95.05
2019	Palmar	276	0.100	79.56	253.74	4.690574018	7.941389728	21.37724068	0.6389	1.5488	5.961604683	9.233333333	38.28	62.59	91.22	98.02
2019	Palmar	276	0.250	94.73	295.78	1.650526849	2.816008105	12.695846	0.6389	1.461333333	5.816605839	8.5	14.22	42.05	74.89	94.62
